timestamp,src_ip,action,status
2026-05-14 16:02:48,45.12.88.7,blocked,malicious
2026-05-14 16:02:49,194.232.231.234,blocked,internal
2026-05-14 16:02:50,86.55.79.112,allowed,internal
2026-05-14 16:02:51,150.117.86.213,blocked,clean
2026-05-14 16:02:52,175.109.176.85,blocked,clean
2026-05-14 16:02:53,15.34.35.37,allowed,clean
2026-05-14 16:02:54,154.42.152.159,blocked,internal
2026-05-14 16:02:55,215.112.226.7,allowed,internal
2026-05-14 16:02:56,251.137.179.170,blocked,clean
2026-05-14 16:02:57,219.253.178.236,allowed,internal
2026-05-14 16:02:58,245.182.104.254,allowed,clean
2026-05-14 16:02:59,38.45.7.107,allowed,clean
2026-05-14 16:03:00,237.241.155.70,blocked,clean
2026-05-14 16:03:01,222.250.86.126,blocked,internal
2026-05-14 16:03:02,86.33.30.200,blocked,internal
2026-05-14 16:03:03,127.251.139.158,allowed,internal
2026-05-14 16:03:04,72.98.100.83,allowed,internal
2026-05-14 16:03:05,98.209.198.137,allowed,clean
2026-05-14 16:03:06,224.164.65.139,allowed,clean
2026-05-14 16:03:07,143.46.91.30,allowed,internal
2026-05-14 16:03:08,202.224.21.240,blocked,clean
2026-05-14 16:03:09,105.51.255.81,blocked,internal
2026-05-14 16:03:10,145.23.147.13,blocked,internal
2026-05-14 16:03:11,193.212.253.171,blocked,internal
2026-05-14 16:03:12,118.3.111.252,allowed,internal
2026-05-14 16:03:13,61.68.130.248,allowed,internal
2026-05-14 16:03:14,19.161.137.65,allowed,internal
2026-05-14 16:03:15,116.96.179.103,blocked,clean
2026-05-14 16:03:16,192.61.145.116,allowed,internal
2026-05-14 16:03:17,206.163.12.178,blocked,clean
2026-05-14 16:03:18,52.145.150.160,allowed,internal
2026-05-14 16:03:19,201.196.7.90,blocked,internal
2026-05-14 16:03:20,227.99.233.168,blocked,internal
2026-05-14 16:03:21,149.220.187.41,allowed,internal
2026-05-14 16:03:22,194.231.192.8,allowed,internal
2026-05-14 16:03:23,99.144.181.81,blocked,internal
2026-05-14 16:03:24,117.81.51.255,blocked,clean
2026-05-14 16:03:25,96.112.92.192,blocked,clean
2026-05-14 16:03:26,191.107.18.42,blocked,internal
2026-05-14 16:03:27,215.147.63.12,blocked,internal
2026-05-14 16:03:28,194.4.198.138,blocked,clean
2026-05-14 16:03:29,136.96.201.4,blocked,internal
2026-05-14 16:03:30,210.116.186.66,allowed,clean
2026-05-14 16:03:31,209.30.50.223,allowed,internal
2026-05-14 16:03:32,148.25.7.98,blocked,clean
2026-05-14 16:03:33,108.147.170.16,blocked,clean
2026-05-14 16:03:34,249.65.178.189,allowed,clean
2026-05-14 16:03:35,183.101.226.28,blocked,clean
2026-05-14 16:03:36,166.129.137.43,blocked,clean
2026-05-14 16:03:37,40.78.146.17,allowed,clean
2026-05-14 16:03:38,45.12.88.7,blocked,malicious
2026-05-14 16:03:39,7.3.90.164,blocked,internal
2026-05-14 16:03:40,213.158.167.247,allowed,internal
2026-05-14 16:03:41,168.227.17.98,blocked,clean
2026-05-14 16:03:42,163.81.132.193,blocked,clean
2026-05-14 16:03:43,250.181.100.11,allowed,clean
2026-05-14 16:03:44,251.162.39.231,allowed,clean
2026-05-14 16:03:45,202.43.134.245,allowed,internal
2026-05-14 16:03:46,64.81.30.244,blocked,clean
2026-05-14 16:03:47,192.76.141.100,allowed,internal
2026-05-14 16:03:48,182.19.1.3,blocked,clean
2026-05-14 16:03:49,98.165.31.40,blocked,clean
2026-05-14 16:03:50,187.180.70.80,blocked,clean
2026-05-14 16:03:51,142.76.23.61,blocked,clean
2026-05-14 16:03:52,246.211.1.158,blocked,internal
2026-05-14 16:03:53,6.194.56.133,allowed,internal
2026-05-14 16:03:54,144.236.157.130,blocked,clean
2026-05-14 16:03:55,196.86.23.181,allowed,internal
2026-05-14 16:03:56,46.60.227.41,allowed,internal
2026-05-14 16:03:57,220.194.102.42,allowed,internal
2026-05-14 16:03:58,158.152.244.79,blocked,internal
2026-05-14 16:03:59,222.2.34.165,blocked,internal
2026-05-14 16:04:00,15.190.88.43,blocked,internal
2026-05-14 16:04:01,230.134.134.58,allowed,internal
2026-05-14 16:04:02,191.1.167.161,allowed,clean
2026-05-14 16:04:03,240.80.130.69,allowed,clean
2026-05-14 16:04:04,246.166.227.59,allowed,internal
2026-05-14 16:04:05,110.64.193.6,allowed,internal
2026-05-14 16:04:06,89.107.171.149,allowed,internal
2026-05-14 16:04:07,199.78.141.79,blocked,clean
2026-05-14 16:04:08,181.195.211.199,allowed,internal
2026-05-14 16:04:09,8.244.132.147,blocked,internal
2026-05-14 16:04:10,152.9.1.101,allowed,clean
2026-05-14 16:04:11,3.200.64.21,allowed,clean
2026-05-14 16:04:12,102.43.92.45,allowed,clean
2026-05-14 16:04:13,78.83.209.104,blocked,internal
2026-05-14 16:04:14,194.148.130.185,blocked,internal
2026-05-14 16:04:15,188.227.60.155,blocked,clean
2026-05-14 16:04:16,109.99.172.234,blocked,clean
2026-05-14 16:04:17,43.70.213.165,allowed,clean
2026-05-14 16:04:18,34.44.191.120,allowed,clean
2026-05-14 16:04:19,14.125.151.134,allowed,internal
2026-05-14 16:04:20,179.103.255.24,blocked,internal
2026-05-14 16:04:21,96.101.235.122,blocked,clean
2026-05-14 16:04:22,193.0.169.249,blocked,internal
2026-05-14 16:04:23,107.126.153.211,allowed,internal
2026-05-14 16:04:24,153.110.172.171,allowed,clean
2026-05-14 16:04:25,25.50.116.114,allowed,clean
2026-05-14 16:04:26,153.68.249.46,blocked,clean
2026-05-14 16:04:27,232.174.49.146,allowed,clean
2026-05-14 16:04:28,45.12.88.7,blocked,malicious
2026-05-14 16:04:29,110.57.213.193,blocked,internal
2026-05-14 16:04:30,159.237.77.229,blocked,internal
2026-05-14 16:04:31,79.201.61.166,allowed,clean
2026-05-14 16:04:32,33.12.37.37,allowed,internal
2026-05-14 16:04:33,208.112.186.249,allowed,clean
2026-05-14 16:04:34,151.197.159.145,blocked,internal
2026-05-14 16:04:35,192.101.88.34,blocked,clean
2026-05-14 16:04:36,167.57.60.160,blocked,internal
2026-05-14 16:04:37,86.215.57.255,blocked,internal
2026-05-14 16:04:38,227.253.219.230,allowed,internal
2026-05-14 16:04:39,113.191.2.191,blocked,clean
2026-05-14 16:04:40,235.61.185.138,blocked,internal
2026-05-14 16:04:41,169.243.102.1,blocked,internal
2026-05-14 16:04:42,230.205.223.250,allowed,internal
2026-05-14 16:04:43,240.0.49.84,blocked,clean
2026-05-14 16:04:44,27.233.57.98,allowed,clean
2026-05-14 16:04:45,150.223.162.139,blocked,clean
2026-05-14 16:04:46,108.104.230.141,allowed,internal
2026-05-14 16:04:47,217.12.209.176,blocked,internal
2026-05-14 16:04:48,145.61.34.152,blocked,internal
2026-05-14 16:04:49,78.33.191.191,allowed,clean
2026-05-14 16:04:50,28.191.21.208,blocked,internal
2026-05-14 16:04:51,182.201.158.132,allowed,clean
2026-05-14 16:04:52,245.49.255.85,allowed,clean
2026-05-14 16:04:53,71.112.82.211,allowed,internal
2026-05-14 16:04:54,205.166.30.171,allowed,internal
2026-05-14 16:04:55,72.102.81.108,allowed,internal
2026-05-14 16:04:56,13.112.120.91,allowed,clean
2026-05-14 16:04:57,51.25.118.134,blocked,clean
2026-05-14 16:04:58,125.26.38.188,blocked,clean
2026-05-14 16:04:59,26.157.129.16,allowed,clean
2026-05-14 16:05:00,190.12.82.115,blocked,internal
2026-05-14 16:05:01,186.151.89.246,allowed,clean
2026-05-14 16:05:02,169.153.201.130,blocked,clean
2026-05-14 16:05:03,183.241.245.128,allowed,clean
2026-05-14 16:05:04,123.176.155.163,blocked,clean
2026-05-14 16:05:05,8.113.121.106,blocked,clean
2026-05-14 16:05:06,66.139.42.25,blocked,clean
2026-05-14 16:05:07,188.206.152.34,blocked,clean
2026-05-14 16:05:08,198.106.247.97,blocked,internal
2026-05-14 16:05:09,98.73.111.41,blocked,internal
2026-05-14 16:05:10,22.91.91.225,blocked,internal
2026-05-14 16:05:11,244.245.141.16,blocked,internal
2026-05-14 16:05:12,251.124.5.61,allowed,clean
2026-05-14 16:05:13,74.55.95.185,allowed,internal
2026-05-14 16:05:14,33.228.90.83,blocked,internal
2026-05-14 16:05:15,239.64.242.203,allowed,internal
2026-05-14 16:05:16,214.212.147.81,allowed,clean
2026-05-14 16:05:17,230.0.88.23,blocked,internal
2026-05-14 16:05:18,185.44.1.3,blocked,malicious
2026-05-14 16:05:19,52.253.135.40,blocked,clean
2026-05-14 16:05:20,17.248.249.117,allowed,internal
2026-05-14 16:05:21,196.93.83.13,allowed,clean
2026-05-14 16:05:22,45.139.122.17,allowed,clean
2026-05-14 16:05:23,15.24.3.125,allowed,internal
2026-05-14 16:05:24,68.244.142.109,allowed,clean
2026-05-14 16:05:25,53.243.215.37,allowed,internal
2026-05-14 16:05:26,204.45.179.241,allowed,internal
2026-05-14 16:05:27,146.52.139.124,allowed,internal
2026-05-14 16:05:28,226.165.119.161,blocked,internal
2026-05-14 16:05:29,194.119.200.213,blocked,clean
2026-05-14 16:05:30,41.47.149.171,allowed,clean
2026-05-14 16:05:31,237.100.117.125,blocked,internal
2026-05-14 16:05:32,191.50.130.203,blocked,clean
2026-05-14 16:05:33,31.103.52.142,blocked,internal
2026-05-14 16:05:34,132.167.251.212,blocked,internal
2026-05-14 16:05:35,111.166.54.200,allowed,internal
2026-05-14 16:05:36,126.254.107.133,blocked,internal
2026-05-14 16:05:37,185.224.61.199,allowed,internal
2026-05-14 16:05:38,152.66.112.185,allowed,internal
2026-05-14 16:05:39,6.7.249.247,allowed,clean
2026-05-14 16:05:40,105.28.135.128,allowed,internal
2026-05-14 16:05:41,37.53.209.136,blocked,clean
2026-05-14 16:05:42,5.179.130.249,blocked,internal
2026-05-14 16:05:43,169.196.66.119,allowed,internal
2026-05-14 16:05:44,158.93.162.98,allowed,clean
2026-05-14 16:05:45,226.32.184.162,allowed,clean
2026-05-14 16:05:46,154.124.106.113,blocked,clean
2026-05-14 16:05:47,242.51.137.38,allowed,clean
2026-05-14 16:05:48,159.43.48.132,blocked,internal
2026-05-14 16:05:49,25.238.7.89,blocked,internal
2026-05-14 16:05:50,16.178.78.254,allowed,internal
2026-05-14 16:05:51,192.131.44.121,blocked,clean
2026-05-14 16:05:52,238.97.149.126,allowed,clean
2026-05-14 16:05:53,145.147.12.236,allowed,internal
2026-05-14 16:05:54,41.100.237.224,allowed,clean
2026-05-14 16:05:55,115.21.50.109,allowed,internal
2026-05-14 16:05:56,131.37.134.164,allowed,clean
2026-05-14 16:05:57,235.113.26.137,blocked,internal
2026-05-14 16:05:58,239.185.98.251,blocked,clean
2026-05-14 16:05:59,198.250.67.123,blocked,clean
2026-05-14 16:06:00,234.113.239.65,allowed,internal
2026-05-14 16:06:01,20.236.188.204,allowed,internal
2026-05-14 16:06:02,76.238.57.137,blocked,internal
2026-05-14 16:06:03,219.2.212.178,blocked,clean
2026-05-14 16:06:04,87.19.249.155,allowed,clean
2026-05-14 16:06:05,44.185.189.70,blocked,internal
2026-05-14 16:06:06,117.136.194.223,allowed,internal
2026-05-14 16:06:07,222.41.232.226,allowed,internal
2026-05-14 16:06:08,45.12.88.7,blocked,malicious
2026-05-14 16:06:09,88.230.191.219,allowed,clean
2026-05-14 16:06:10,69.58.201.188,allowed,clean
2026-05-14 16:06:11,196.46.124.156,blocked,internal
2026-05-14 16:06:12,169.172.54.117,blocked,internal
2026-05-14 16:06:13,34.96.86.82,blocked,clean
2026-05-14 16:06:14,147.55.238.85,blocked,internal
2026-05-14 16:06:15,193.124.251.107,allowed,clean
2026-05-14 16:06:16,158.227.220.51,blocked,internal
2026-05-14 16:06:17,238.241.5.52,allowed,clean
2026-05-14 16:06:18,247.217.139.224,blocked,clean
2026-05-14 16:06:19,245.175.229.196,allowed,internal
2026-05-14 16:06:20,217.108.164.252,blocked,clean
2026-05-14 16:06:21,60.251.214.109,blocked,internal
2026-05-14 16:06:22,16.228.167.39,allowed,clean
2026-05-14 16:06:23,54.225.207.79,allowed,clean
2026-05-14 16:06:24,101.92.149.234,blocked,internal
2026-05-14 16:06:25,57.201.24.232,allowed,internal
2026-05-14 16:06:26,18.82.165.42,blocked,clean
2026-05-14 16:06:27,81.211.27.1,allowed,clean
2026-05-14 16:06:28,7.36.234.58,blocked,clean
2026-05-14 16:06:29,146.68.57.218,allowed,internal
2026-05-14 16:06:30,153.194.40.166,allowed,clean
2026-05-14 16:06:31,79.216.116.84,blocked,internal
2026-05-14 16:06:32,180.11.206.187,blocked,internal
2026-05-14 16:06:33,171.52.29.60,allowed,internal
2026-05-14 16:06:34,226.66.99.69,blocked,internal
2026-05-14 16:06:35,110.241.136.199,blocked,internal
2026-05-14 16:06:36,237.214.49.210,blocked,clean
2026-05-14 16:06:37,245.243.235.127,allowed,internal
2026-05-14 16:06:38,95.47.74.54,allowed,internal
2026-05-14 16:06:39,85.139.212.166,allowed,clean
2026-05-14 16:06:40,82.237.50.34,blocked,clean
2026-05-14 16:06:41,117.131.93.19,allowed,clean
2026-05-14 16:06:42,1.233.80.120,allowed,clean
2026-05-14 16:06:43,203.219.151.185,allowed,clean
2026-05-14 16:06:44,79.84.85.10,blocked,internal
2026-05-14 16:06:45,77.229.253.9,blocked,internal
2026-05-14 16:06:46,68.228.0.119,allowed,internal
2026-05-14 16:06:47,151.8.173.112,allowed,clean
2026-05-14 16:06:48,229.185.5.240,allowed,clean
2026-05-14 16:06:49,22.88.195.34,blocked,clean
2026-05-14 16:06:50,38.111.201.236,blocked,clean
2026-05-14 16:06:51,12.162.22.38,allowed,clean
2026-05-14 16:06:52,67.182.41.41,blocked,internal
2026-05-14 16:06:53,26.162.111.204,allowed,internal
2026-05-14 16:06:54,57.61.207.70,blocked,clean
2026-05-14 16:06:55,244.157.151.2,allowed,internal
2026-05-14 16:06:56,150.69.247.219,allowed,internal
2026-05-14 16:06:57,97.70.149.93,allowed,internal
2026-05-14 16:06:58,103.77.21.9,blocked,malicious
2026-05-14 16:06:59,155.120.71.216,blocked,clean
2026-05-14 16:07:00,219.163.20.81,allowed,clean
2026-05-14 16:07:01,92.211.63.206,blocked,internal
2026-05-14 16:07:02,188.24.41.104,allowed,clean
2026-05-14 16:07:03,59.215.30.219,blocked,clean
2026-05-14 16:07:04,75.210.235.8,allowed,clean
2026-05-14 16:07:05,193.209.134.116,allowed,internal
2026-05-14 16:07:06,125.97.152.195,blocked,internal
2026-05-14 16:07:07,101.126.57.164,allowed,internal
2026-05-14 16:07:08,251.144.236.16,allowed,internal
2026-05-14 16:07:09,141.75.231.224,blocked,internal
2026-05-14 16:07:10,252.216.23.172,allowed,internal
2026-05-14 16:07:11,193.125.75.47,allowed,clean
2026-05-14 16:07:12,218.44.183.205,blocked,internal
2026-05-14 16:07:13,184.166.70.245,allowed,internal
2026-05-14 16:07:14,241.78.143.139,blocked,internal
2026-05-14 16:07:15,200.181.31.162,blocked,clean
2026-05-14 16:07:16,235.18.44.40,blocked,clean
2026-05-14 16:07:17,180.1.115.154,blocked,internal
2026-05-14 16:07:18,237.74.174.64,blocked,clean
2026-05-14 16:07:19,235.209.13.225,blocked,clean
2026-05-14 16:07:20,63.171.183.142,blocked,clean
2026-05-14 16:07:21,112.160.204.250,allowed,internal
2026-05-14 16:07:22,41.128.17.227,blocked,internal
2026-05-14 16:07:23,234.59.220.63,blocked,clean
2026-05-14 16:07:24,61.108.249.84,allowed,internal
2026-05-14 16:07:25,198.9.103.221,allowed,clean
2026-05-14 16:07:26,72.110.229.35,blocked,clean
2026-05-14 16:07:27,46.172.80.56,blocked,internal
2026-05-14 16:07:28,188.215.174.49,blocked,internal
2026-05-14 16:07:29,190.31.156.246,blocked,clean
2026-05-14 16:07:30,199.206.244.210,blocked,clean
2026-05-14 16:07:31,29.232.82.132,blocked,internal
2026-05-14 16:07:32,186.126.219.103,allowed,clean
2026-05-14 16:07:33,133.235.96.47,blocked,clean
2026-05-14 16:07:34,60.192.166.187,allowed,internal
2026-05-14 16:07:35,95.39.172.104,allowed,internal
2026-05-14 16:07:36,80.83.57.11,allowed,internal
2026-05-14 16:07:37,179.243.178.159,blocked,internal
2026-05-14 16:07:38,209.228.237.36,blocked,internal
2026-05-14 16:07:39,28.138.29.243,blocked,clean
2026-05-14 16:07:40,255.240.202.181,blocked,internal
2026-05-14 16:07:41,233.206.153.73,blocked,internal
2026-05-14 16:07:42,98.43.118.141,allowed,internal
2026-05-14 16:07:43,17.204.179.134,blocked,clean
2026-05-14 16:07:44,115.65.165.194,allowed,internal
2026-05-14 16:07:45,42.69.84.93,allowed,internal
2026-05-14 16:07:46,23.218.197.17,blocked,clean
2026-05-14 16:07:47,210.56.164.126,allowed,clean
2026-05-14 16:07:48,103.77.21.9,blocked,malicious
2026-05-14 16:07:49,14.170.226.174,blocked,internal
2026-05-14 16:07:50,85.61.246.99,blocked,clean
2026-05-14 16:07:51,241.24.0.107,blocked,clean
2026-05-14 16:07:52,102.90.98.227,allowed,internal
2026-05-14 16:07:53,116.198.84.114,blocked,internal
2026-05-14 16:07:54,222.168.157.206,blocked,internal
2026-05-14 16:07:55,154.75.208.48,allowed,clean
2026-05-14 16:07:56,12.173.193.67,blocked,internal
2026-05-14 16:07:57,230.247.78.105,blocked,clean
2026-05-14 16:07:58,241.146.103.176,allowed,internal
2026-05-14 16:07:59,111.19.153.176,allowed,clean
2026-05-14 16:08:00,38.181.63.90,allowed,clean
2026-05-14 16:08:01,136.48.228.43,allowed,clean
2026-05-14 16:08:02,161.235.206.62,allowed,clean
2026-05-14 16:08:03,51.39.113.211,allowed,clean
2026-05-14 16:08:04,35.157.180.191,allowed,clean
2026-05-14 16:08:05,63.255.63.57,blocked,internal
2026-05-14 16:08:06,106.162.110.39,allowed,clean
2026-05-14 16:08:07,187.151.125.52,blocked,clean
2026-05-14 16:08:08,16.66.155.193,allowed,clean
2026-05-14 16:08:09,142.206.147.164,allowed,internal
2026-05-14 16:08:10,237.237.208.149,blocked,clean
2026-05-14 16:08:11,148.180.247.203,blocked,clean
2026-05-14 16:08:12,83.13.164.121,allowed,clean
2026-05-14 16:08:13,175.213.155.74,blocked,internal
2026-05-14 16:08:14,71.107.8.183,blocked,internal
2026-05-14 16:08:15,186.102.241.64,allowed,internal
2026-05-14 16:08:16,161.8.58.158,blocked,internal
2026-05-14 16:08:17,64.55.180.39,blocked,internal
2026-05-14 16:08:18,210.249.126.19,blocked,clean
2026-05-14 16:08:19,121.67.202.249,blocked,internal
2026-05-14 16:08:20,241.167.255.199,blocked,internal
2026-05-14 16:08:21,18.5.124.247,allowed,clean
2026-05-14 16:08:22,254.48.190.173,blocked,internal
2026-05-14 16:08:23,236.206.27.115,blocked,clean
2026-05-14 16:08:24,112.251.66.87,allowed,internal
2026-05-14 16:08:25,39.151.222.171,blocked,clean
2026-05-14 16:08:26,197.212.237.222,allowed,internal
2026-05-14 16:08:27,126.93.255.0,blocked,clean
2026-05-14 16:08:28,38.136.162.213,blocked,internal
2026-05-14 16:08:29,238.206.117.199,allowed,clean
2026-05-14 16:08:30,188.147.32.156,allowed,clean
2026-05-14 16:08:31,31.95.187.174,blocked,clean
2026-05-14 16:08:32,204.179.71.254,blocked,clean
2026-05-14 16:08:33,69.55.10.139,allowed,internal
2026-05-14 16:08:34,77.168.37.10,blocked,internal
2026-05-14 16:08:35,78.6.142.25,allowed,clean
2026-05-14 16:08:36,245.58.28.22,allowed,internal
2026-05-14 16:08:37,178.27.211.66,allowed,internal
2026-05-14 16:08:38,103.77.21.9,blocked,malicious
2026-05-14 16:08:39,215.171.13.13,allowed,clean
2026-05-14 16:08:40,125.98.239.26,allowed,internal
2026-05-14 16:08:41,155.163.11.28,blocked,clean
2026-05-14 16:08:42,120.83.209.164,blocked,clean
2026-05-14 16:08:43,154.53.122.177,blocked,clean
2026-05-14 16:08:44,93.244.148.56,blocked,clean
2026-05-14 16:08:45,68.200.234.132,blocked,internal
2026-05-14 16:08:46,87.24.213.22,allowed,internal
2026-05-14 16:08:47,133.30.102.94,blocked,internal
2026-05-14 16:08:48,139.123.221.46,allowed,clean
2026-05-14 16:08:49,94.99.231.196,blocked,internal
2026-05-14 16:08:50,105.193.55.7,allowed,clean
2026-05-14 16:08:51,78.112.115.234,allowed,clean
2026-05-14 16:08:52,117.130.29.105,allowed,internal
2026-05-14 16:08:53,249.206.80.66,blocked,clean
2026-05-14 16:08:54,173.246.63.60,blocked,clean
2026-05-14 16:08:55,80.114.203.177,blocked,clean
2026-05-14 16:08:56,99.18.44.119,allowed,internal
2026-05-14 16:08:57,103.232.29.178,blocked,clean
2026-05-14 16:08:58,211.0.233.160,blocked,internal
2026-05-14 16:08:59,46.37.173.58,blocked,clean
2026-05-14 16:09:00,155.200.82.235,allowed,clean
2026-05-14 16:09:01,19.172.209.178,allowed,internal
2026-05-14 16:09:02,209.146.224.113,allowed,clean
2026-05-14 16:09:03,192.89.114.192,blocked,internal
2026-05-14 16:09:04,253.43.155.181,allowed,internal
2026-05-14 16:09:05,94.177.42.166,allowed,clean
2026-05-14 16:09:06,182.91.87.216,allowed,clean
2026-05-14 16:09:07,166.101.249.77,blocked,clean
2026-05-14 16:09:08,35.59.174.237,allowed,clean
2026-05-14 16:09:09,212.102.161.60,blocked,internal
2026-05-14 16:09:10,141.54.135.62,blocked,internal
2026-05-14 16:09:11,228.65.39.86,allowed,internal
2026-05-14 16:09:12,200.1.118.177,allowed,clean
2026-05-14 16:09:13,70.38.131.233,blocked,internal
2026-05-14 16:09:14,215.74.29.152,blocked,internal
2026-05-14 16:09:15,128.238.55.122,allowed,clean
2026-05-14 16:09:16,10.146.80.61,allowed,clean
2026-05-14 16:09:17,198.255.94.116,allowed,internal
2026-05-14 16:09:18,231.255.86.176,allowed,clean
2026-05-14 16:09:19,238.52.113.48,allowed,internal
2026-05-14 16:09:20,168.132.28.180,allowed,internal
2026-05-14 16:09:21,165.68.45.102,blocked,clean
2026-05-14 16:09:22,242.239.26.137,blocked,internal
2026-05-14 16:09:23,110.91.38.67,blocked,clean
2026-05-14 16:09:24,50.139.153.252,blocked,clean
2026-05-14 16:09:25,72.46.186.30,allowed,internal
2026-05-14 16:09:26,30.216.109.35,allowed,clean
2026-05-14 16:09:27,66.100.123.131,blocked,internal
2026-05-14 16:09:28,103.77.21.9,blocked,malicious
2026-05-14 16:09:29,207.58.38.149,blocked,clean
2026-05-14 16:09:30,70.154.114.235,allowed,internal
2026-05-14 16:09:31,50.22.225.156,allowed,clean
2026-05-14 16:09:32,232.3.201.179,blocked,internal
2026-05-14 16:09:33,169.230.240.45,blocked,clean
2026-05-14 16:09:34,160.4.205.99,blocked,clean
2026-05-14 16:09:35,172.92.246.191,blocked,internal
2026-05-14 16:09:36,82.40.54.150,allowed,clean
2026-05-14 16:09:37,117.252.42.30,allowed,clean
2026-05-14 16:09:38,233.42.58.94,blocked,internal
2026-05-14 16:09:39,104.177.180.247,blocked,clean
2026-05-14 16:09:40,83.155.82.205,blocked,internal
2026-05-14 16:09:41,254.65.45.20,blocked,clean
2026-05-14 16:09:42,85.68.109.17,allowed,internal
2026-05-14 16:09:43,226.97.74.199,allowed,internal
2026-05-14 16:09:44,1.174.175.238,allowed,internal
2026-05-14 16:09:45,80.25.129.211,blocked,internal
2026-05-14 16:09:46,167.26.110.29,allowed,internal
2026-05-14 16:09:47,113.130.64.144,blocked,clean
2026-05-14 16:09:48,131.17.225.227,allowed,clean
2026-05-14 16:09:49,229.254.187.99,allowed,clean
2026-05-14 16:09:50,113.110.68.184,blocked,internal
2026-05-14 16:09:51,148.176.17.77,blocked,internal
2026-05-14 16:09:52,183.112.254.189,allowed,internal
2026-05-14 16:09:53,214.123.15.44,blocked,internal
2026-05-14 16:09:54,83.154.246.68,allowed,clean
2026-05-14 16:09:55,88.160.116.226,blocked,internal
2026-05-14 16:09:56,155.183.40.110,allowed,clean
2026-05-14 16:09:57,36.174.237.2,blocked,internal
2026-05-14 16:09:58,161.179.72.74,allowed,internal
2026-05-14 16:09:59,27.145.161.188,blocked,internal
2026-05-14 16:10:00,119.68.79.80,blocked,internal
2026-05-14 16:10:01,200.180.7.28,blocked,internal
2026-05-14 16:10:02,137.114.85.168,allowed,clean
2026-05-14 16:10:03,136.235.228.251,blocked,internal
2026-05-14 16:10:04,178.162.163.138,allowed,internal
2026-05-14 16:10:05,204.128.125.182,allowed,internal
2026-05-14 16:10:06,70.184.8.250,blocked,internal
2026-05-14 16:10:07,106.235.20.127,allowed,clean
2026-05-14 16:10:08,4.4.10.5,allowed,clean
2026-05-14 16:10:09,181.72.237.168,allowed,clean
2026-05-14 16:10:10,179.45.212.69,allowed,clean
2026-05-14 16:10:11,11.86.214.208,allowed,internal
2026-05-14 16:10:12,211.169.116.57,blocked,clean
2026-05-14 16:10:13,18.96.241.0,blocked,internal
2026-05-14 16:10:14,57.15.36.242,blocked,internal
2026-05-14 16:10:15,57.94.37.78,blocked,internal
2026-05-14 16:10:16,236.152.194.140,allowed,internal
2026-05-14 16:10:17,172.83.138.216,allowed,clean
